PRODUCT_ID,PRODUCT_METADATA
6280,Snack Bars
6499,Sweeteners + Syrup
5532,Desserts
2608,Hemp Ingestibles
2252,Hemp
3759,Hemp Ingestibles
2340,Hemp
3826,Supplements
6282,Popped + Puffed
2552,Hemp
3804,Sparkling
3078,Meat + Seafood
5535,Nuts + Fruits
6286,Baking
4631,Chips + Crisps
4859,Plant Based
5620,Tea
1039,Plant Based
4966,Nut + Seed Butter
4385,Chips + Crisps
6287,Functional Foods
1985,Superfood Mixes + Granola
5292,Nut + Seed Butter
5497,Functional
4296,Condiments
4238,Plant Based
5315,Personal Care
4231,Hemp
4562,Plant Based
4149,Hemp
4879,Hemp Ingestibles
5899,Bath + Body Care
5919,Bath + Body Care
4386,Functional
4225,Functional
5490,Condiments
5537,Oatmeal + cereals
5908,Bath + Body Care
5484,Zero-Proof NA
4281,Supplements
5499,Zero-Proof NA
5982,Kitchenware
5590,Functional
2387,RTD Tea
6173,Bread
6507,Plant Based
5907,Bath + Body Care
532,RTD Tea
4232,Functional Foods
4942,Sweeteners + Syrup
3639,Shots + Elixirs
6523,Hemp Ingestibles
4932,Zero-Proof NA
6511,Plant Based
6289,Oatmeal + cereals
4239,Snack Bars
6293,Bath + Body Care
5561,Functional
6002,Cleaning 
5570,Zero-Proof NA
6301,Hemp Edibles
991,Hemp
5583,Coffee
6193,Hemp Edibles
5533,Coffee
5418,Zero-Proof NA
6515,Bath + Body Care
5918,Bath + Body Care
505,Juice
1042,Oatmeal + cereals
4244,Chocolate
6513,Bath + Body Care
4564,Baking
6522,Hemp Ingestibles
4632,Chips + Crisps
6180,Pets
6182,Snack Bars
4200,Condiments
5914,Skin Care
4384,Chips + Crisps
6174,Hemp Ingestibles
4863,Condiments
5930,Personal Care
4901,Tea
6291,Hemp Ingestibles
4285,Supplements
6290,Confections
469,Crackers
5086,Hot sauce
5963,Personal Care
6113,Mixers
4860,Hemp Ingestibles
4828,Nut + Seed Butter
5301,"Pasta, Noodles + Sauces"
5302,Hemp Ingestibles
5534,Hemp Topicals + Tinctures
5902,Bath + Body Care
5417,Pets
4558,Tea
6178,Dessert
6516,Performance Nutrition
