ORDER_ID,STORE_ID,REGION_ID,BRAND_ID,PRODUCT_ID,PRODUCT_VARIANT_ID,QUANTITY,VARIANT_CASE_PRICE_CENTS,CHECKOUT_DATE
23501,274,2,1779,4048,12344,1,5200,2022-01-25
23463,629,3,1953,4661,14243,1,2004,2022-01-24
23501,274,2,1543,3956,12149,1,2010,2022-01-25
23502,275,2,1119,2552,8275,4,3600,2022-01-25
23502,275,2,1119,3668,11553,2,2900,2022-01-25
23502,275,2,1119,3668,11550,5,2900,2022-01-25
23502,275,2,1516,3924,12072,1,2880,2022-01-25
24784,1962,3,2046,5071,15392,1,2000,2022-02-24
23501,274,2,1309,3174,9977,1,7320,2022-01-25
23463,629,3,1157,3155,9858,2,2200,2022-01-24
23501,274,2,1543,3956,12147,1,2010,2022-01-25
23463,629,3,1141,2619,8529,1,5240,2022-01-24
23501,274,2,1018,2333,12248,6,2100,2022-01-25
23501,274,2,1018,2333,7580,6,2100,2022-01-25
23501,274,2,1018,2333,7578,2,2100,2022-01-25
23501,274,2,1847,4261,13268,3,2406,2022-01-25
23501,274,2,1847,4261,13269,2,2406,2022-01-25
23501,274,2,1847,4261,13270,2,2406,2022-01-25
23473,1962,3,1007,2309,7531,1,3450,2022-01-24
23473,1962,3,1819,4199,12698,1,4025,2022-01-24
23473,1962,3,1885,4403,13609,1,11940,2022-01-24
23292,657,3,1884,4402,13605,1,12600,2022-01-19
23473,1962,3,1157,3155,9863,1,2200,2022-01-24
23473,1962,3,1157,3155,9858,2,2200,2022-01-24
23473,1962,3,1953,4661,14243,1,2004,2022-01-24
23473,1962,3,1924,4560,14039,1,3800,2022-01-24
23473,1962,3,1924,4560,14040,1,3800,2022-01-24
24784,1962,3,2046,5071,15411,1,2000,2022-02-24
23473,1962,3,1186,2763,8880,1,5100,2022-01-24
23292,657,3,1808,4155,12568,1,4638,2022-01-19
24785,656,3,2046,5071,15391,1,2000,2022-02-24
23463,629,3,1157,3155,9863,1,2200,2022-01-24
23463,629,3,1157,3155,9861,1,2200,2022-01-24
23463,629,3,1157,3155,9860,1,2200,2022-01-24
23463,629,3,1157,3155,9859,1,2200,2022-01-24
23502,275,2,1847,4261,13268,1,2406,2022-01-25
23463,629,3,1962,4768,14497,2,1794,2022-01-24
