product,week_start,sales,last-1_week_sales,last-1_week_diff,last-2_week_sales,last-2_week_diff
155,2022-03-14,0,0.0,0.0,0.0,-2.0
156,2022-03-14,0,0.0,-4.0,4.0,4.0
166,2022-03-14,0,0.0,0.0,0.0,0.0
175,2022-03-14,0,0.0,0.0,0.0,0.0
242,2022-03-14,0,5.0,5.0,0.0,0.0
300,2022-03-14,0,0.0,-3.0,3.0,3.0
317,2022-03-14,4,7.0,-6.0,13.0,-2.0
337,2022-03-14,0,0.0,0.0,0.0,-5.0
359,2022-03-14,44,26.0,6.0,20.0,-2.0
362,2022-03-14,0,1.0,-3.0,4.0,4.0
372,2022-03-14,6,0.0,-4.0,4.0,4.0
416,2022-03-14,0,0.0,0.0,0.0,-2.0
453,2022-03-14,2,0.0,0.0,0.0,0.0
479,2022-03-14,69,65.0,42.0,23.0,2.0
527,2022-03-14,2,11.0,11.0,0.0,-5.0
532,2022-03-14,2,0.0,-1.0,1.0,1.0
533,2022-03-14,0,0.0,0.0,0.0,0.0
557,2022-03-14,0,0.0,0.0,0.0,0.0
574,2022-03-14,15,4.0,-25.0,29.0,19.0
576,2022-03-14,0,1.0,0.0,1.0,0.0
578,2022-03-14,9,2.0,-10.0,12.0,6.0
579,2022-03-14,0,0.0,0.0,0.0,0.0
580,2022-03-14,0,0.0,-2.0,2.0,2.0
581,2022-03-14,4,0.0,0.0,0.0,0.0
591,2022-03-14,0,0.0,0.0,0.0,0.0
605,2022-03-14,0,0.0,0.0,0.0,0.0
608,2022-03-14,0,0.0,-1.0,1.0,1.0
609,2022-03-14,0,0.0,0.0,0.0,0.0
694,2022-03-14,16,15.0,1.0,14.0,-10.0
706,2022-03-14,0,0.0,0.0,0.0,0.0
707,2022-03-14,0,0.0,0.0,0.0,0.0
735,2022-03-14,0,0.0,-6.0,6.0,2.0
846,2022-03-14,0,0.0,0.0,0.0,0.0
847,2022-03-14,0,1.0,0.0,1.0,-2.0
852,2022-03-14,0,0.0,0.0,0.0,0.0
912,2022-03-14,0,0.0,-2.0,2.0,2.0
916,2022-03-14,0,0.0,0.0,0.0,0.0
956,2022-03-14,1,0.0,-2.0,2.0,-10.0
970,2022-03-14,2,0.0,0.0,0.0,0.0
971,2022-03-14,6,0.0,0.0,0.0,-2.0
975,2022-03-14,0,0.0,0.0,0.0,0.0
1031,2022-03-14,0,0.0,-2.0,2.0,2.0
1033,2022-03-14,6,10.0,9.0,1.0,-18.0
1035,2022-03-14,4,3.0,3.0,0.0,0.0
1038,2022-03-14,0,2.0,1.0,1.0,1.0
1041,2022-03-14,0,0.0,-2.0,2.0,2.0
1042,2022-03-14,8,4.0,-3.0,7.0,6.0
1053,2022-03-14,4,0.0,0.0,0.0,0.0
1059,2022-03-14,0,0.0,0.0,0.0,-3.0
1067,2022-03-14,37,21.0,-1.0,22.0,-25.0
1101,2022-03-14,4,0.0,-1.0,1.0,1.0
1103,2022-03-14,2,1.0,1.0,0.0,0.0
1105,2022-03-14,2,3.0,1.0,2.0,-2.0
1107,2022-03-14,0,4.0,4.0,0.0,0.0
1108,2022-03-14,0,0.0,-10.0,10.0,8.0
1109,2022-03-14,0,0.0,0.0,0.0,0.0
1118,2022-03-14,10,5.0,-1.0,6.0,3.0
1139,2022-03-14,0,0.0,0.0,0.0,0.0
1140,2022-03-14,26,0.0,-4.0,4.0,-24.0
1168,2022-03-14,9,13.0,-2.0,15.0,10.0
1169,2022-03-14,0,0.0,0.0,0.0,-4.0
1178,2022-03-14,0,0.0,-2.0,2.0,1.0
1193,2022-03-14,0,0.0,0.0,0.0,-1.0
