product,week_start,sales
155,2022-01-03,0
156,2022-01-03,0
166,2022-01-03,0
242,2022-01-03,0
300,2022-01-03,0
317,2022-01-03,3
337,2022-01-03,0
359,2022-01-03,1
362,2022-01-03,0
372,2022-01-03,0
416,2022-01-03,0
453,2022-01-03,0
466,2022-01-03,0
479,2022-01-03,31
527,2022-01-03,0
532,2022-01-03,0
557,2022-01-03,0
574,2022-01-03,2
576,2022-01-03,0
578,2022-01-03,0
579,2022-01-03,0
580,2022-01-03,0
581,2022-01-03,0
590,2022-01-03,0
591,2022-01-03,0
605,2022-01-03,0
608,2022-01-03,0
694,2022-01-03,0
706,2022-01-03,0
707,2022-01-03,0
735,2022-01-03,0
846,2022-01-03,0
847,2022-01-03,1
852,2022-01-03,0
912,2022-01-03,0
916,2022-01-03,0
956,2022-01-03,0
970,2022-01-03,1
971,2022-01-03,2
975,2022-01-03,0
1031,2022-01-03,0
1033,2022-01-03,6
1035,2022-01-03,2
1038,2022-01-03,0
1041,2022-01-03,0
1042,2022-01-03,4
1053,2022-01-03,0
1059,2022-01-03,1
1067,2022-01-03,12
1101,2022-01-03,2
1102,2022-01-03,0
1103,2022-01-03,0
1105,2022-01-03,0
1107,2022-01-03,0
1108,2022-01-03,0
1109,2022-01-03,0
1118,2022-01-03,0
1139,2022-01-03,0
1140,2022-01-03,0
1168,2022-01-03,4
1169,2022-01-03,0
1178,2022-01-03,0
1193,2022-01-03,0
1202,2022-01-03,0
1241,2022-01-03,0
1248,2022-01-03,0
1250,2022-01-03,0
1287,2022-01-03,0
1288,2022-01-03,0
1289,2022-01-03,0
1304,2022-01-03,4
1305,2022-01-03,9
1306,2022-01-03,0
1336,2022-01-03,33
1866,2022-01-03,6
1867,2022-01-03,1
1899,2022-01-03,0
1900,2022-01-03,0
1902,2022-01-03,0
1917,2022-01-03,3
1918,2022-01-03,1
1939,2022-01-03,1
1960,2022-01-03,0
1993,2022-01-03,0
2030,2022-01-03,0
2048,2022-01-03,0
2071,2022-01-03,5
2097,2022-01-03,0
2098,2022-01-03,0
2099,2022-01-03,1
2101,2022-01-03,1
2102,2022-01-03,0
2103,2022-01-03,0
2117,2022-01-03,0
2122,2022-01-03,0
2126,2022-01-03,31
2138,2022-01-03,3
2142,2022-01-03,1
2158,2022-01-03,0
2163,2022-01-03,14
2166,2022-01-03,0
2177,2022-01-03,0
2178,2022-01-03,2
2184,2022-01-03,0
2190,2022-01-03,0
2191,2022-01-03,0
2193,2022-01-03,29
2227,2022-01-03,0
2251,2022-01-03,0
2252,2022-01-03,1
2253,2022-01-03,1
2270,2022-01-03,0
2276,2022-01-03,0
2277,2022-01-03,0
2279,2022-01-03,0
2292,2022-01-03,0
2293,2022-01-03,0
2309,2022-01-03,7
2317,2022-01-03,0
2323,2022-01-03,0
2331,2022-01-03,0
2333,2022-01-03,14
2334,2022-01-03,2
2343,2022-01-03,16
2357,2022-01-03,0
2367,2022-01-03,0
2387,2022-01-03,0
2389,2022-01-03,0
2401,2022-01-03,4
2402,2022-01-03,0
2403,2022-01-03,0
2409,2022-01-03,0
2410,2022-01-03,0
2412,2022-01-03,0
2419,2022-01-03,4
2420,2022-01-03,0
2425,2022-01-03,0
2441,2022-01-03,2
2447,2022-01-03,0
2448,2022-01-03,0
2450,2022-01-03,0
2492,2022-01-03,0
2500,2022-01-03,2
2514,2022-01-03,3
2529,2022-01-03,0
2536,2022-01-03,33
2537,2022-01-03,0
2551,2022-01-03,0
2552,2022-01-03,23
2554,2022-01-03,0
2555,2022-01-03,1
2562,2022-01-03,0
2571,2022-01-03,0
2576,2022-01-03,3
2577,2022-01-03,0
2583,2022-01-03,0
2587,2022-01-03,40
2589,2022-01-03,0
2592,2022-01-03,0
2593,2022-01-03,2
2596,2022-01-03,5
2607,2022-01-03,5
2609,2022-01-03,3
2610,2022-01-03,0
2614,2022-01-03,0
2615,2022-01-03,0
2616,2022-01-03,0
2619,2022-01-03,3
2623,2022-01-03,0
2628,2022-01-03,0
2639,2022-01-03,0
2641,2022-01-03,0
2644,2022-01-03,0
2645,2022-01-03,0
2648,2022-01-03,0
2656,2022-01-03,1
2659,2022-01-03,0
2667,2022-01-03,0
2670,2022-01-03,0
2679,2022-01-03,1
2680,2022-01-03,6
2684,2022-01-03,2
2699,2022-01-03,2
2715,2022-01-03,6
2718,2022-01-03,0
2722,2022-01-03,0
2727,2022-01-03,0
2733,2022-01-03,0
2734,2022-01-03,0
2735,2022-01-03,0
2739,2022-01-03,0
2740,2022-01-03,0
2748,2022-01-03,0
2751,2022-01-03,0
2753,2022-01-03,0
2756,2022-01-03,0
2757,2022-01-03,0
2763,2022-01-03,9
2782,2022-01-03,0
2784,2022-01-03,0
2785,2022-01-03,0
2788,2022-01-03,0
2795,2022-01-03,2
2796,2022-01-03,0
2800,2022-01-03,0
2814,2022-01-03,1
2819,2022-01-03,1
2821,2022-01-03,1
2829,2022-01-03,1
2830,2022-01-03,0
2832,2022-01-03,0
2833,2022-01-03,18
2834,2022-01-03,3
2835,2022-01-03,0
2836,2022-01-03,0
2837,2022-01-03,2
2842,2022-01-03,0
2849,2022-01-03,0
2903,2022-01-03,0
2906,2022-01-03,1
2907,2022-01-03,0
2911,2022-01-03,5
2912,2022-01-03,0
2914,2022-01-03,0
2915,2022-01-03,6
2916,2022-01-03,0
2917,2022-01-03,0
2918,2022-01-03,6
2923,2022-01-03,0
2931,2022-01-03,0
2970,2022-01-03,0
2975,2022-01-03,0
2978,2022-01-03,6
2995,2022-01-03,3
2999,2022-01-03,0
3001,2022-01-03,0
3005,2022-01-03,0
3013,2022-01-03,6
3034,2022-01-03,34
3035,2022-01-03,0
3037,2022-01-03,7
3042,2022-01-03,12
3044,2022-01-03,17
3046,2022-01-03,9
3047,2022-01-03,2
3054,2022-01-03,0
3055,2022-01-03,0
3056,2022-01-03,0
3057,2022-01-03,0
3058,2022-01-03,0
3059,2022-01-03,0
3060,2022-01-03,0
3062,2022-01-03,0
3064,2022-01-03,0
3065,2022-01-03,0
3068,2022-01-03,0
3069,2022-01-03,0
3070,2022-01-03,0
3071,2022-01-03,0
3075,2022-01-03,0
3076,2022-01-03,0
